DateTime,Temp,Intensity,Treatment
2021-04-21 18:24:00,18.4872951507568,6310.39990234375,Ambient
2021-04-21 18:27:00,17.7579879760742,6461.43994140625,Ambient
2021-04-21 18:30:00,17.4576854705811,5460.47998046875,Ambient
2021-04-21 18:33:00,17.3289852142334,3458.56005859375,Ambient
2021-04-21 18:36:00,17.2002830505371,3310.080078125,Ambient
2021-04-21 18:39:00,17.1573829650879,3063.0400390625,Ambient
2021-04-21 18:42:00,17.1144828796387,2032.64001464844,Ambient
2021-04-21 18:45:00,17.0286808013916,1132.80004882812,Ambient
2021-04-21 18:48:00,17.0286808013916,696,Ambient
2021-04-21 18:51:00,17.0286808013916,627.840026855469,Ambient
2021-04-21 18:54:00,16.9428806304932,754.880004882812,Ambient
2021-04-21 18:57:00,16.9428806304932,923.840026855469,Ambient
2021-04-21 19:00:00,16.8570804595947,992.640014648438,Ambient
2021-04-21 19:03:00,16.7712783813477,897.919982910156,Ambient
2021-04-21 19:06:00,16.7283782958984,766.400024414062,Ambient
2021-04-21 19:09:00,16.7283782958984,1036.16003417969,Ambient
2021-04-21 19:12:00,16.6854782104492,951.039978027344,Ambient
2021-04-21 19:15:00,16.5567779541016,627.840026855469,Ambient
2021-04-21 19:18:00,16.5996780395508,526.400024414062,Ambient
2021-04-21 19:21:00,16.5567779541016,384.480010986328,Ambient
2021-04-21 19:24:00,16.4280757904053,305.679992675781,Ambient
2021-04-21 19:27:00,16.4280757904053,291.760009765625,Ambient
2021-04-21 19:30:00,16.4280757904053,349.440002441406,Ambient
2021-04-21 19:33:00,16.3422756195068,340.640014648438,Ambient
2021-04-21 19:36:00,16.2993755340576,367.839996337891,Ambient
2021-04-21 19:39:00,16.3422756195068,386.239990234375,Ambient
2021-04-21 19:42:00,16.2993755340576,339.839996337891,Ambient
2021-04-21 19:45:00,16.2993755340576,332.799987792969,Ambient
2021-04-21 19:48:00,16.2564754486084,338.079986572266,Ambient
2021-04-21 19:51:00,16.2564754486084,356.320007324219,Ambient
2021-04-21 19:54:00,16.1706733703613,393.119995117188,Ambient
2021-04-21 19:57:00,16.1706733703613,355.519989013672,Ambient
2021-04-21 20:00:00,16.1706733703613,342.399993896484,Ambient
2021-04-21 20:03:00,16.1706733703613,373.119995117188,Ambient
2021-04-21 20:06:00,16.1277732849121,469.279998779297,Ambient
2021-04-21 20:09:00,16.1277732849121,494.559997558594,Ambient
2021-04-21 20:12:00,16.1277732849121,469.279998779297,Ambient
2021-04-21 20:15:00,16.0848731994629,372.320007324219,Ambient
2021-04-21 20:18:00,16.0848731994629,293.440002441406,Ambient
2021-04-21 20:21:00,16.0419731140137,251.440002441406,Ambient
2021-04-21 20:24:00,16.0419731140137,220.720001220703,Ambient
2021-04-21 20:27:00,15.9990720748901,197.919998168945,Ambient
2021-04-21 20:30:00,15.9990720748901,190.880004882812,Ambient
2021-04-21 20:33:00,16.0419731140137,186.559997558594,Ambient
2021-04-21 20:36:00,15.9561719894409,182.240005493164,Ambient
2021-04-21 20:39:00,15.9561719894409,183.039993286133,Ambient
2021-04-21 20:42:00,15.9132719039917,166.320007324219,Ambient
2021-04-21 20:45:00,15.8703708648682,136.600006103516,Ambient
2021-04-21 20:48:00,15.8703708648682,111.120002746582,Ambient
2021-04-21 20:51:00,15.8703708648682,81.4199981689453,Ambient
2021-04-21 20:54:00,15.8703708648682,60.4199981689453,Ambient
2021-04-21 20:57:00,15.8274707794189,47.6800003051758,Ambient
2021-04-21 21:00:00,15.7845706939697,38.0400009155273,Ambient
2021-04-21 21:03:00,15.8274707794189,32.3800010681152,Ambient
2021-04-21 21:06:00,15.7845706939697,29.2800006866455,Ambient
2021-04-21 21:09:00,15.7845706939697,21.0100002288818,Ambient
2021-04-21 21:12:00,15.7845706939697,14.1999998092651,Ambient
2021-04-21 21:15:00,15.7845706939697,8.07999992370605,Ambient
2021-04-21 21:18:00,15.7416696548462,4.34999990463257,Ambient
2021-04-21 21:21:00,15.7416696548462,1.95000004768372,Ambient
2021-04-21 21:24:00,15.7416696548462,0.870000004768372,Ambient
2021-04-21 21:27:00,15.698769569397,0.430000007152557,Ambient
2021-04-21 21:30:00,15.7416696548462,0.209999993443489,Ambient
2021-04-21 21:33:00,15.7416696548462,0,Ambient
2021-04-21 21:36:00,15.7845706939697,0,Ambient
2021-04-21 21:39:00,15.698769569397,0,Ambient
2021-04-21 21:42:00,15.698769569397,0,Ambient
2021-04-21 21:45:00,15.698769569397,0.209999993443489,Ambient
2021-04-21 21:48:00,15.698769569397,0,Ambient
2021-04-21 21:51:00,15.698769569397,0,Ambient
2021-04-21 21:54:00,15.698769569397,0,Ambient
2021-04-21 21:57:00,15.6558685302734,0,Ambient
2021-04-21 22:00:00,15.6558685302734,0,Ambient
2021-04-21 22:03:00,15.6558685302734,0,Ambient
2021-04-21 22:06:00,15.6558685302734,0,Ambient
2021-04-21 22:09:00,15.6558685302734,0,Ambient
2021-04-21 22:12:00,15.6129684448242,0,Ambient
2021-04-21 22:15:00,15.6558685302734,0,Ambient
2021-04-21 22:18:00,15.570068359375,0,Ambient
2021-04-21 22:21:00,15.570068359375,0,Ambient
2021-04-21 22:24:00,15.6129684448242,0,Ambient
2021-04-21 22:27:00,15.570068359375,0,Ambient
2021-04-21 22:30:00,15.570068359375,0,Ambient
2021-04-21 22:33:00,15.6129684448242,0,Ambient
2021-04-21 22:36:00,15.570068359375,0,Ambient
2021-04-21 22:39:00,15.570068359375,0,Ambient
2021-04-21 22:42:00,15.570068359375,0,Ambient
