Sample,Treatment,Day,group,total_biomass
14,Control,10,Cyanobacteria,0.183186267630821
14,Control,10,Dinophyta,21.3628300444106
14,Control,10,Euglenophyta,0.536296045906558
14,Control,10,Synurophyta,0
14,Control,15,Bacillariophyta,1.17143537555513
14,Control,15,Charophyta,0.86330311622178
14,Control,15,Chlorophyta,0.715031723944793
14,Control,15,Cryptophyta,172.972164515837
14,Control,15,Cyanobacteria,0.576796411199086
14,Control,15,Dinophyta,21.3628300444106
14,Control,15,Euglenophyta,0
14,Control,15,Synurophyta,0
14,Control,24,Bacillariophyta,7.80623939594198
14,Control,24,Charophyta,1.19515020271894
14,Control,24,Chlorophyta,2.76265278048326
14,Control,24,Cryptophyta,113.093882068058
14,Control,24,Cyanobacteria,1.41173384917699
14,Control,24,Dinophyta,28.305749808844
14,Control,24,Euglenophyta,1.12106179409487
14,Control,24,Synurophyta,0
14,Control,30,Bacillariophyta,6.53545119981447
14,Control,30,Charophyta,12.3505530165346
14,Control,30,Chlorophyta,326.862961343387
14,Control,30,Cryptophyta,161.78343234921
14,Control,30,Cyanobacteria,9.12726913647442
14,Control,30,Dinophyta,64.0884901332318
14,Control,30,Euglenophyta,0
14,Control,30,Synurophyta,0
14,Control,38,Bacillariophyta,42.3958844491397
14,Control,38,Charophyta,188.256113495594
14,Control,38,Chlorophyta,63.5732738481711
14,Control,38,Cryptophyta,194.023453288767
14,Control,38,Cyanobacteria,42.8002920256992
14,Control,38,Dinophyta,544.75216613247
14,Control,38,Euglenophyta,5.13584130891894
14,Control,38,Synurophyta,0
15,Control,-4,Bacillariophyta,28.3851663548055
15,Control,-4,Charophyta,331.165298515875
15,Control,-4,Chlorophyta,0
15,Control,-4,Cryptophyta,428.245460700077
15,Control,-4,Cyanobacteria,0.454040249056392
15,Control,-4,Dinophyta,3.73849525777185
15,Control,-4,Euglenophyta,0.531578420938417
15,Control,-4,Synurophyta,0
15,Control,3,Bacillariophyta,0
15,Control,3,Charophyta,63.1201579203882
15,Control,3,Chlorophyta,0
15,Control,3,Cryptophyta,291.138099817478
15,Control,3,Cyanobacteria,0
15,Control,3,Dinophyta,0
15,Control,3,Euglenophyta,0.934623814442963
15,Control,3,Synurophyta,0
15,Control,10,Bacillariophyta,7.02066524483697
15,Control,10,Charophyta,329.393632122761
15,Control,10,Chlorophyta,1.2016591899981
15,Control,10,Cryptophyta,47.6936307215448
15,Control,10,Cyanobacteria,0.0198451789933389
15,Control,10,Dinophyta,0
15,Control,10,Euglenophyta,0.0890117918517108
15,Control,10,Synurophyta,0
15,Control,15,Bacillariophyta,0.916387058648605
15,Control,15,Charophyta,67.5977292123788
15,Control,15,Chlorophyta,35.7302233671952
15,Control,15,Cryptophyta,423.167621700024
15,Control,15,Cyanobacteria,0.398772827495664
15,Control,15,Dinophyta,0
15,Control,15,Euglenophyta,0
15,Control,15,Synurophyta,0
15,Control,24,Bacillariophyta,0.7307468267137
15,Control,24,Charophyta,6.75354995888742
15,Control,24,Chlorophyta,39.7215121138259
15,Control,24,Cryptophyta,282.075586759576
15,Control,24,Cyanobacteria,0.0655349317508221
15,Control,24,Dinophyta,3.73849525777185
15,Control,24,Euglenophyta,0
15,Control,24,Synurophyta,0
15,Control,30,Bacillariophyta,0.94915361310993
15,Control,30,Charophyta,4.2678928898099
15,Control,30,Chlorophyta,1.13490034610931
15,Control,30,Cryptophyta,333.376976669611
15,Control,30,Cyanobacteria,0.556323699073192
15,Control,30,Dinophyta,10.6814150222053
15,Control,30,Euglenophyta,0
15,Control,30,Synurophyta,0
15,Control,38,Bacillariophyta,27.2341721325252
15,Control,38,Charophyta,52.848408361974
15,Control,38,Chlorophyta,17.8406621763728
15,Control,38,Cryptophyta,116.212732863328
15,Control,38,Cyanobacteria,1.78368504396847
15,Control,38,Dinophyta,3.73849525777185
15,Control,38,Euglenophyta,0
15,Control,38,Synurophyta,0
17,Control,-4,Bacillariophyta,51.5409370968989
17,Control,-4,Charophyta,0.0324002922340227
17,Control,-4,Chlorophyta,4.34950885908284
17,Control,-4,Cryptophyta,150.346980365859
17,Control,-4,Cyanobacteria,0
17,Control,-4,Dinophyta,32.0442450666159
17,Control,-4,Euglenophyta,0.057857664703612
17,Control,-4,Synurophyta,0
17,Control,3,Bacillariophyta,2.98625802924996
17,Control,3,Charophyta,0
17,Control,3,Chlorophyta,2.84392674966216
17,Control,3,Cryptophyta,267.115536236932
17,Control,3,Cyanobacteria,0
17,Control,3,Dinophyta,32.0442450666159
17,Control,3,Euglenophyta,0.0865194616798629
17,Control,3,Synurophyta,0
17,Control,10,Bacillariophyta,6.78100994455903
17,Control,10,Charophyta,66.5270774972393
17,Control,10,Chlorophyta,5.35546885419196
17,Control,10,Cryptophyta,75.8771562137024
17,Control,10,Cyanobacteria,0.29668965401053
17,Control,10,Dinophyta,64.0884901332318
17,Control,10,Euglenophyta,0.445058959258554
17,Control,10,Synurophyta,0
17,Control,15,Bacillariophyta,8.8978
17,Control,15,Charophyta,0
17,Control,15,Chlorophyta,1.31839815501161
17,Control,15,Cryptophyta,574.793645882422
17,Control,15,Cyanobacteria,0.811115502659122
17,Control,15,Dinophyta,21.3628300444106
17,Control,15,Euglenophyta,0
17,Control,15,Synurophyta,0
17,Control,24,Bacillariophyta,1.8014539580624
17,Control,24,Charophyta,12.7966439562549
